Date,Ticker,Group,Setup,Side,Open,High,Low,Close,RSI14,MA50,MA200,Stop,Target,R_R,ret5,ret10,ret15,win5,win10,win15,tgt_hit10,stp_hit10
2025-07-14,AAP,oversold,ReversalLong,long,62.81999969482422,62.959999084472656,61.38999938964844,62.400001525878906,5.172426877374377,,,59.28000144958496,67.39200164794923,1.5999999999999999,0.05176275077813098,-0.09070512354178004,-0.08509617377314999,True,False,False,False,True
2025-07-14,ALB,overbought,ReversalShort,short,72.7699966430664,72.87999725341797,69.88999938964844,70.0199966430664,86.21455770540527,,,73.52099647521973,64.4183969116211,1.5999999999999999,-0.1888032255713084,-0.02256500866615143,0.025278445128884146,False,False,True,False,False
2025-07-14,ANF,overbought,ReversalShort,short,92.5,93.1500015258789,88.2300033569336,89.19000244140625,92.49808134318172,,,93.64950256347656,82.05480224609376,1.5999999999999999,-0.07321447023826225,-0.09776881917266195,-0.11425041521560743,False,False,False,False,False
2025-07-14,DINO,oversold,ReversalLong,long,44.869998931884766,45.22999954223633,44.09000015258789,44.2599983215332,0.3228187107387299,,,42.04699840545654,47.800798187255864,1.5999999999999999,0.013104425057614773,0.017623195290874125,-0.01129688248896164,True,True,False,False,False
2025-07-14,FOLD,overbought,ReversalShort,short,6.289999961853027,6.309999942779541,5.880000114440918,5.909999847412109,85.52628717037513,,,6.205499839782715,5.437199859619141,1.5999999999999999,-0.05245346036942536,-0.037225088444823404,-0.18274110856009051,False,False,False,False,True
2025-07-14,FRPT,overbought,ReversalShort,short,72.16000366210938,72.32499694824219,68.2699966430664,68.70999908447266,93.46754255291638,,,72.14549903869629,63.21319915771485,1.5999999999999999,-0.06592925105016602,-0.03230972566269193,0.018774573318526836,False,False,True,False,True
2025-07-14,FULT,overbought,ReversalShort,short,19.739999771118164,19.739999771118164,18.93000030517578,19.020000457763672,91.57733072321082,,,19.971000480651856,17.49840042114258,1.5999999999999999,-0.018401702052896735,0.031019986245429433,0.0683491647277295,False,True,True,False,False
2025-07-14,PACS,overbought,ReversalShort,short,12.970000267028809,13.4399995803833,12.449999809265137,12.449999809265137,86.40480215237112,,,13.072499799728394,11.453999824523926,1.5999999999999999,0.07791166922805463,0.07389558958943056,0.08273090351412536,True,True,True,False,True
2025-07-14,RNA,overbought,ReversalShort,short,34.119998931884766,34.38999938964844,31.6200008392334,31.700000762939453,93.64593991829311,,,33.285000801086426,29.1640007019043,1.5999999999999999,-0.05772864265974646,-0.13406939740420085,-0.20693998109498657,False,False,False,False,True
2025-07-14,TGT,overbought,ReversalShort,short,105.0,105.5,102.19000244140624,102.20999908447266,75.48398891811007,,,107.3204990386963,94.03319915771485,1.5999999999999999,-0.042363779178552836,-0.019274055751384894,-0.00215244323132517,False,False,False,False,False
2025-07-14,USA,oversold,ReversalLong,long,6.880000114440918,6.900000095367432,6.800000190734863,6.840000152587891,1.5151799763894331,,,6.498000144958496,7.387200164794923,1.5999999999999999,-0.03362573303254483,-0.036549706786982064,-0.05555557104734073,False,False,False,False,False
2025-07-15,AAON,oversold,ReversalLong,long,75.63999938964844,75.79000091552734,73.33000183105469,74.2699966430664,0.07018818252431913,,,70.55649681091309,80.21159637451173,1.5999999999999999,0.06032050032887448,0.08711460230430941,0.09721289278363203,True,True,True,False,False
2025-07-15,TPR,overbought,ReversalShort,short,101.83000183105467,102.25,100.0,100.66999816894533,97.59312423885937,,,105.7034980773926,92.6163983154297,1.5999999999999999,-0.08443429179103809,-0.07479883695497799,-0.11403599449428549,False,False,False,False,False
2025-07-16,AAON,oversold,ReversalLong,long,74.66000366210938,79.56999969482422,74.0,79.45999908447266,16.45935802730675,,,75.48699913024902,85.81679901123047,1.5999999999999999,-0.02391142144186341,0.05084320365058755,0.041152835516454614,False,True,True,False,True
2025-07-16,CVNA,overbought,ReversalShort,short,352.04998779296875,358.5799865722656,344.2900085449219,346.1000061035156,88.4673185645796,,,363.4050064086914,318.41200561523436,1.5999999999999999,0.05781568741041909,-0.12733315962738753,-0.03366077344997202,True,False,False,False,False
2025-07-16,DINO,oversold,ReversalLong,long,42.93999862670898,43.7400016784668,42.66999816894531,43.720001220703125,6.897199972939518,,,41.534001159667966,47.21760131835938,1.5999999999999999,0.0034308716146744037,0.005031962485437327,-0.0038884258667878434,True,True,False,False,False
2025-07-16,KRC,oversold,ReversalLong,long,36.59999847412109,36.959999084472656,36.20000076293945,36.720001220703125,4.745108806222078,,,34.88400115966797,39.657601318359376,1.5999999999999999,0.014161232039134304,0.003812619417057763,0.04193891747372305,True,True,True,False,False
2025-07-16,LUV,overbought,ReversalShort,short,37.630001068115234,37.959999084472656,36.29999923706055,36.470001220703125,82.2852411127905,,,38.29350128173828,33.55240112304688,1.5999999999999999,0.08801762521871488,0.15190569591707118,0.18947083968941858,True,True,True,False,False
2025-07-16,MPC,oversold,ReversalLong,long,172.86000061035156,174.67999267578125,172.42999267578125,174.1699981689453,3.445556279144654,,,165.46149826049805,188.10359802246094,1.5999999999999999,-0.01642074203605006,-0.022851213006722645,-0.07268762585522416,False,False,False,False,False
2025-07-17,AAP,oversold,ReversalLong,long,61.61000061035156,61.619998931884766,60.66999816894531,61.130001068115234,4.958766786971879,,,58.07350101470947,66.02040115356446,1.5999999999999999,-0.040078532964681196,-0.137739274276479,-0.03353507608770197,False,False,False,False,False
2025-07-17,DINO,oversold,ReversalLong,long,44.2400016784668,44.90999984741211,43.77000045776367,43.95000076293945,8.661393128317087,,,41.752500724792476,47.46600082397461,1.5999999999999999,-0.017519919098908633,-0.03617747724656805,-0.009101285982597863,False,False,False,False,False
2025-07-17,KRC,oversold,ReversalLong,long,37.0,37.150001525878906,36.5099983215332,36.83000183105469,12.904546800714584,,,34.98850173950195,39.77640197753907,1.5999999999999999,0.0067879442728998865,-0.0076025680171985565,0.026608729120670374,True,False,True,False,False
2025-07-17,MPC,oversold,ReversalLong,long,176.64999389648438,178.3300018310547,174.2100067138672,174.2100067138672,3.5251241569672516,,,165.49950637817383,188.14680725097656,1.5999999999999999,-0.015154120245139124,-0.0498249675681769,-0.0767465120297955,False,False,False,False,False
2025-07-17,OUT,overbought,ReversalShort,short,18.32999992370605,18.38999938964844,17.790000915527344,17.889999389648438,88.57863474901276,,,18.78449935913086,16.458799438476564,1.5999999999999999,-0.010061504265893577,0.03745109553674008,0.06372271819685288,False,True,True,False,False
2025-07-20,AAP,oversold,ReversalLong,long,61.880001068115234,63.619998931884766,60.5,62.79999923706055,23.7340848265719,,,59.65999927520752,67.8239991760254,1.5999999999999999,-0.08439489333517103,-0.1476114740506733,-0.054777048861473825,False,False,False,False,True
2025-07-20,C,overbought,ReversalShort,short,93.58999633789062,94.08000183105467,92.52999877929688,92.6500015258789,90.40434904735828,,,97.28250160217286,85.2380014038086,1.5999999999999999,-0.03130060958573073,0.0061521822497220486,0.003669767530334821,False,True,True,False,False
2025-07-20,DINO,oversold,ReversalLong,long,44.119998931884766,44.68000030517578,43.79999923706055,44.400001525878906,12.168155636297314,,,42.18000144958496,47.952001647949224,1.5999999999999999,0.01306301793749636,-0.013964025344022803,-0.026126121791594847,True,False,False,False,False
2025-07-20,FNB,overbought,ReversalShort,short,16.219999313354492,16.270000457763672,15.970000267028809,15.979999542236328,80.13568268268425,,,16.778999519348144,14.701599578857422,1.5999999999999999,0.01689608960098695,0.06132663143363155,0.06695868119370904,True,True,True,False,False
2025-07-20,HOG,oversold,ReversalLong,long,23.809999465942383,24.0,23.489999771118164,23.57999992370605,12.095737673116673,,,22.400999927520747,25.466399917602537,1.5999999999999999,-0.0008481958366573593,0.008057698671432332,0.02459711304421837,False,True,True,False,False
2025-07-20,MPC,oversold,ReversalLong,long,174.99000549316406,176.47000122070312,173.9499969482422,174.8800048828125,4.937916652298043,,,166.13600463867186,188.8704052734375,1.5999999999999999,-0.0004574669992049515,-0.03956997927568918,-0.09314963454991809,False,False,False,False,False
2025-07-20,PBF,oversold,ReversalLong,long,24.5,25.11000061035156,24.40999984741211,24.559999465942383,1.0230463157276688,,,23.331999492645263,26.524799423217775,1.5999999999999999,0.021987008439318938,-0.052524390725967506,-0.10830618506733912,True,False,False,True,False
2025-07-20,WBS,overbought,ReversalShort,short,60.900001525878906,61.52000045776367,60.29999923706055,60.31999969482422,84.57314919627797,,,63.33599967956543,55.49439971923828,1.5999999999999999,0.012931014311059473,0.061339535504953475,0.08504643723589779,True,True,True,False,False
2025-07-21,AAON,oversold,ReversalLong,long,75.36000061035156,76.05999755859375,73.13999938964844,76.0,16.178303852197217,,,72.2,82.08000000000001,1.5999999999999999,0.06855261953253496,0.09710522701865748,0.09144732826634457,True,True,True,False,False
2025-07-21,DINO,oversold,ReversalLong,long,43.959999084472656,45.040000915527344,43.7599983215332,44.84000015258789,15.580988258648901,,,42.5980001449585,48.427200164794925,1.5999999999999999,0.004460320300153039,-0.024085678576706168,-0.011373735945533201,True,False,False,False,False
2025-07-21,MPC,oversold,ReversalLong,long,174.80999755859375,176.8699951171875,174.44000244140625,175.25,5.758669915692877,,,166.48749999999998,189.27,1.5999999999999999,0.0010270623439728958,-0.03611983926422076,-0.09209700079685271,True,False,False,False,False
2025-07-22,AAON,oversold,ReversalLong,long,77.47000122070312,80.55000305175781,76.30999755859375,78.75,23.771077434878208,,,74.8125,85.05000000000001,1.5999999999999999,0.025269814143105158,0.034793623666914686,0.1211428687686012,True,True,True,False,True
2025-07-22,CVI,oversold,ReversalLong,long,28.15999984741211,28.31999969482422,27.549999237060547,28.18000030517578,2.5189210065883714,,,26.77100028991699,30.434400329589845,1.5999999999999999,0.0031937598159415357,-0.05216469853739256,-0.045067439460971644,True,False,False,True,False
2025-07-22,DINO,oversold,ReversalLong,long,45.08000183105469,45.95000076293945,44.84999847412109,45.7400016784668,22.236979140257418,,,43.45300159454346,49.399201812744145,1.5999999999999999,-0.05050287032189822,-0.05203325274987204,-0.014866643642820584,False,False,False,False,True
2025-07-22,EXAS,overbought,ReversalShort,short,49.880001068115234,50.27999877929688,48.150001525878906,48.40999984741211,76.83737945743665,,,50.83049983978272,44.53719985961914,1.5999999999999999,0.03325760411952634,0.030985333706424017,0.07229911198165605,True,True,True,False,True
2025-07-22,MPC,oversold,ReversalLong,long,175.75999450683594,177.75,175.02000427246094,177.5399932861328,10.886925008109529,,,168.66299362182616,191.74319274902345,1.5999999999999999,-0.038075897051213545,-0.0850512077038925,-0.08905034446584395,False,False,False,False,False
2025-07-22,PBF,oversold,ReversalLong,long,24.440000534057617,24.770000457763672,23.63999938964844,24.31999969482422,2.8146566366764887,,,23.103999710083006,26.265599670410158,1.5999999999999999,0.012746688726659683,-0.06537829656824685,-0.05098683333380404,True,False,False,True,True
2025-07-22,USA,oversold,ReversalLong,long,6.639999866485596,6.679999828338623,6.619999885559082,6.670000076293945,9.91372586018511,,,6.3365000724792475,7.203600082397461,1.5999999999999999,-0.013493276095717445,-0.03148426323012204,-0.007496280384249247,False,False,False,False,False
