Date,Ticker,Group,Side,Pattern,Open,High,Low,Close,RSI14,H3,L3,Stop,Target,R_R,WinRate10,Samples10,Grade
2025-12-11,APO,overbought,short,OverboughtShortRev,151.86000061035156,151.86000061035156,146.92999267578125,148.0500030517578,71.42567863701626,150.97999572753906,137.50999450683594,150.97999572753906,144.38751220703125,1.25,0.28948861060217707,76.0,
2025-12-11,FDX,overbought,short,OverboughtShortRev,286.0,287.5398864746094,283.19500732421875,284.3399963378906,71.78350702514582,288.44000244140625,274.9800109863281,288.44000244140625,279.2149887084961,1.25,0.28948861060217707,76.0,
2025-12-11,FOXA,overbought,short,OverboughtShortRev,72.125,72.54000091552734,71.00499725341797,71.0999984741211,73.71477705829909,72.69999694824219,69.20999908447266,72.69999694824219,69.10000038146973,1.25,0.28948861060217707,76.0,
2025-12-11,PNFP,overbought,short,OverboughtShortRev,101.06999969482422,101.08000183105467,99.12999725341795,99.87999725341795,71.05763582589603,102.23999786376952,96.58000183105467,102.23999786376952,96.9299964904785,1.25,0.28948861060217707,76.0,
2025-12-11,ROST,overbought,short,OverboughtShortRev,184.13999938964844,185.0,181.2899932861328,182.08999633789065,75.21416267904965,183.8999938964844,175.63999938964844,183.8999938964844,179.82749938964847,1.25,0.28948861060217707,76.0,
2025-12-11,SN,overbought,short,OverboughtShortRev,114.43000030517578,114.98300170898438,111.66000366210938,112.66999816894533,71.65910597124106,115.33999633789062,107.81999969482422,115.33999633789062,109.3325004577637,1.25,0.28948861060217707,76.0,
2025-12-11,SNV,overbought,short,OverboughtShortRev,53.52999877929688,53.625,52.17499923706055,52.56999969482422,71.04447066634214,53.68000030517578,50.75,53.68000030517578,51.182498931884766,1.25,0.28948861060217707,76.0,
2025-12-11,STZ,overbought,short,OverboughtShortRev,150.25,151.10000610351562,147.2899932861328,147.4199981689453,70.75450329902452,151.50999450683594,141.69000244140625,151.50999450683594,142.30750274658203,1.25,0.28948861060217707,76.0,
2025-12-11,SYF,overbought,short,OverboughtShortRev,85.72000122070312,86.125,83.15499877929688,84.22000122070312,71.61829803832046,86.22000122070312,79.38999938964844,86.22000122070312,81.72000122070312,1.25,0.28948861060217707,76.0,
2025-12-11,WEC,oversold,long,OversoldLongRev,103.0,104.25,102.9499969482422,103.87999725341795,25.610686829698267,105.88999938964844,103.05999755859376,103.05999755859376,104.90499687194819,1.25,0.28948861060217707,76.0,
