Date,Ticker,Group,Setup,Side,Open,High,Low,Close,RSI14,MA50,MA200,Stop,Target,R_R,ret5,ret10,ret15,win5,win10,win15,tgt_hit10,stp_hit10
2025-10-14,AMRX,oversold,ReversalLong,long,9.670000076293944,9.869999885559082,9.5600004196167,9.779999732971191,13.333333333333329,,,9.290999746322631,10.562399711608887,1.5999999999999999,0.06646222801144352,0.06646222801144352,0.1952965132476385,True,True,True,False,False
2025-10-14,APLS,oversold,ReversalLong,long,24.0,25.38999938964844,23.8799991607666,25.21999931335449,13.855422686550881,,,23.958999347686763,27.23759925842285,1.5999999999999999,0.11578113226782502,0.1915146730852002,-0.20896109016245956,True,True,False,False,True
2025-10-14,CRNX,oversold,ReversalLong,long,44.2400016784668,45.959999084472656,44.09600067138672,44.150001525878906,1.9841660296243475,,,41.94250144958496,47.68200164794922,1.5999999999999999,-0.08425823538245211,-0.028312569802909332,-0.03669315267480672,False,False,False,False,True
2025-10-14,ES,oversold,ReversalLong,long,71.0999984741211,72.4800033569336,70.70999908447266,72.23999786376953,25.037712454545343,,,68.62799797058105,78.0191976928711,1.5999999999999999,0.012181684784542998,0.02173310826759616,0.009274720627807095,True,True,True,False,False
2025-10-14,NLY,oversold,ReversalLong,long,20.790000915527344,20.920000076293945,20.65999984741211,20.799999237060547,7.142857142857139,,,19.75999927520752,22.463999176025393,1.5999999999999999,0.024038462420187087,-0.006730740133826187,0.04326930571590225,True,False,True,False,False
2025-10-14,PBF,overbought,ReversalShort,short,29.51000022888184,29.729999542236328,27.989999771118164,28.350000381469727,77.31270194773109,,,29.767500400543213,26.08200035095215,1.5999999999999999,-0.03985887638665421,-0.20317460851417543,-0.2458553516602511,False,False,False,False,True
2025-10-14,SMCI,oversold,ReversalLong,long,54.5,55.06999969482422,52.86000061035156,53.93999862670898,3.7471710519630648,,,51.24299869537353,58.2551985168457,1.5999999999999999,-0.026696304474801123,-0.023173897512504735,-0.22080089267029995,False,False,False,False,False
2025-10-15,ABBV,oversold,ReversalLong,long,226.22000122070312,228.1100006103516,225.4600067138672,226.8699951171875,3.7194177503264143,,,215.5264953613281,245.0195947265625,1.5999999999999999,0.006082800337257784,0.005862396348920835,-0.034513166128514156,True,True,False,False,False
2025-10-15,AMRX,oversold,ReversalLong,long,9.81999969482422,9.979999542236328,9.75,9.869999885559082,28.69211702832996,,,9.376499891281128,10.65959987640381,1.5999999999999999,0.0557244373973675,0.013171237684726089,0.18135764768062443,True,True,True,False,False
2025-10-15,APA,overbought,ReversalShort,short,23.420000076293945,23.51000022888184,22.540000915527344,23.0,85.30186516993618,,,24.150000000000002,21.16,1.5999999999999999,-0.07043481909710428,0.02608697310737926,-0.027826060419497436,False,True,False,False,False
2025-10-15,RMD,oversold,ReversalLong,long,270.9800109863281,273.75,269.6199951171875,270.0,0.8302187561872785,,,256.5,291.6,1.5999999999999999,-0.017555519386574073,-0.06570372404875569,-0.07537039297598369,False,False,False,False,False
