Date,Ticker,Group,Side,Pattern,Open,High,Low,Close,RSI14,H3,L3,Stop,Target,R_R,WinRate10,Samples10,Grade
2026-02-11,ALGM,overbought,short,OverboughtShortRev,42.900001525878906,43.86000061035156,41.630001068115234,41.83000183105469,72.44272581390959,43.040000915527344,40.82699966430664,43.040000915527344,40.31750297546387,1.25,0.20000935459647437,62.0,
2026-02-11,BKD,overbought,short,OverboughtShortRev,16.899999618530273,17.0,16.270000457763672,16.309999465942383,74.41862984385722,16.8700008392334,16.040000915527344,16.8700008392334,15.609997749328613,1.25,0.20000935459647437,62.0,
2026-02-11,CAT,overbought,short,OverboughtShortRev,776.6900024414062,789.8099975585938,756.010009765625,758.2899780273438,71.33337915705997,775.5399780273438,721.6099853515625,775.5399780273438,736.7274780273438,1.25,0.20000935459647437,62.0,
2026-02-11,CSX,overbought,short,OverboughtShortRev,41.54999923706055,41.78499984741211,40.56999969482422,40.70000076293945,71.17839704443443,41.5099983215332,39.93999862670898,41.5099983215332,39.687503814697266,1.25,0.20000935459647437,62.0,
2026-02-11,DGX,overbought,short,OverboughtShortRev,211.8000030517578,213.1999969482422,206.8500061035156,206.8600006103516,73.17238090803795,210.3800048828125,187.5800018310547,210.3800048828125,202.45999526977545,1.25,0.20000935459647437,62.0,
2026-02-11,DOV,overbought,short,OverboughtShortRev,234.6100006103516,237.38999938964844,229.95260620117188,230.57000732421875,72.87874448653251,233.8800048828125,222.1000061035156,233.8800048828125,226.43251037597656,1.25,0.20000935459647437,62.0,
2026-02-11,HSY,overbought,short,OverboughtShortRev,231.02999877929688,232.75669860839844,226.08999633789065,226.25999450683597,72.78813667175014,234.8699951171875,227.0,234.8699951171875,215.49749374389654,1.25,0.20000935459647437,62.0,
2026-02-11,KGS,overbought,short,OverboughtShortRev,52.18000030517578,52.334999084472656,49.77999877929688,50.2400016784668,76.09116323406478,52.70000076293945,49.72499847412109,52.70000076293945,47.16500282287598,1.25,0.20000935459647437,62.0,
2026-02-11,MAR,overbought,short,OverboughtShortRev,361.9800109863281,370.0,352.5799865722656,355.0799865722656,71.34817284496802,367.7300109863281,326.1300048828125,367.7300109863281,339.2674560546875,1.25,0.20000935459647437,62.0,
2026-02-11,NSC,overbought,short,OverboughtShortRev,318.5899963378906,319.79998779296875,312.2900085449219,314.5400085449219,70.07965934112183,318.6499938964844,302.010009765625,318.6499938964844,309.40252685546875,1.25,0.20000935459647437,62.0,
2026-02-11,PEP,overbought,short,OverboughtShortRev,169.7550048828125,171.47999572753906,167.08999633789062,167.1999969482422,71.04430055059082,170.27000427246094,163.74000549316406,170.27000427246094,163.36248779296875,1.25,0.20000935459647437,62.0,
2026-02-11,TER,overbought,short,OverboughtShortRev,324.69500732421875,327.9898986816406,307.614990234375,311.0299987792969,71.93532449717915,325.2900085449219,296.5,325.2900085449219,293.2049865722656,1.25,0.20000935459647437,62.0,
2026-02-11,UNP,overbought,short,OverboughtShortRev,264.44000244140625,265.3699951171875,259.6499938964844,261.7699890136719,75.86875833602033,263.9200134277344,249.07000732421875,263.9200134277344,259.08245849609375,1.25,0.20000935459647437,62.0,
2026-02-11,UPS,overbought,short,OverboughtShortRev,120.375,122.41000366210938,117.05999755859376,118.06999969482422,70.06963079337314,120.9000015258789,116.0,120.9000015258789,114.53249740600586,1.25,0.20000935459647437,62.0,
2026-02-11,BSX,oversold,long,OversoldLongRev,73.37999725341797,75.28500366210938,73.16000366210938,74.12000274658203,24.095220587356806,75.79000091552734,72.69000244140625,72.69000244140625,75.90750312805176,1.25,0.20000935459647437,62.0,
